adsh,ddate,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,InterestExpense,Liabilities,LiabilitiesCurrent,LongTermDebtNoncurrent,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PaymentsToAcquirePropertyPlantAndEquipment,Revenues,StockholdersEquity,current_ratio,cash_ratio,debt_to_equity,debt_to_assets,net_profit_margin,return_on_assets,return_on_equity,free_cash_flow,operating_cf_ratio,risk_score,risk_category
0000003570-25-000033,20241231,17345000000.0,4801000000.0,2638000000.0,1277965.0,33798000000.0,4441000000.0,22554000000.0,5394000000.0,3252000000.0,6128000000.0,2238000000.0,2676000000.0,5699000000.0,0.7328787361381094,0.46625307848208697,1.935933998802826,1.9485730758143558,1.2152466367713004,0.1874891899682906,0.5706264256887174,3156000000.0,0.1595952423220309,-1.8148172857959375,0
0000004904-25-000027,20231231,95814600000.0,1208800000.0,2500000.0,1277965.0,8739200000.0,1614300000.0,7086900000.0,590500000.0,294400000.0,4400000.0,1020572.5,0.0,-600000.0,0.5589341457711521,0.0015474609259276022,-7.104752126839216,0.09120948164475978,-0.0472917516538927,0.00307260062662684,-490.6666666666667,-1621403.0,0.06756911387770048,-1.5206738416793846,0
0000004904-25-000027,20241231,12943300000.0,218500000.0,1500000.0,1277965.0,9419400000.0,30700000.0,7124300000.0,6804300000.0,600000.0,399200000.0,1020572.5,19721300000.0,157200000.0,2.0939931323201466,0.04770379795721115,4.109559021921462,0.7277433112112058,3.0423957852677054e-05,4.6356029760571104e-05,0.003816793893129771,-1621403.0,0.7223708516466016,0.17278565887265893,1
0000004977-24-000053,20221231,28551000000.0,14520073.0,1143000000.0,215000000.0,8411000000.0,12204998.0,107203000.0,3879000000.0,4418000000.0,-1630000.0,1020572.5,-87000000.0,-20574000000.0,0.8311600980251587,0.2999388915531042,-0.3427503120828579,0.2945956358796539,-50.7816091954023,0.15474063955728345,-0.21473704675804414,-1621403.0,0.4611817857567471,-0.12890346458433627,1
0000004977-24-000053,20231231,21861000000.0,14520073.0,1007000000.0,187000000.0,104739000000.0,12204998.0,107203000.0,2965000000.0,62000000.0,-1630000.0,1020572.5,460000000.0,136000000.0,0.8311600980251587,0.2999388915531042,6.647869558033455,4.79113489776314,0.13478260869565217,0.0028361008188097525,0.45588235294117646,-1621403.0,0.028308461986461586,2.1568637980381644,2
0000004977-25-000047,20231231,21861000000.0,14520073.0,4306000000.0,1277965.0,507000000.0,12204998.0,107203000.0,3190000000.0,-4000000.0,-1630000.0,1020572.5,279000000.0,-8000000.0,0.8311600980251587,0.2999388915531042,-4.1647253589839,0.023191985728008783,-0.014336917562724014,-0.00018297424637482275,0.5,-1621403.0,6.291913214990138,-1.371885731951615,0
0000004977-25-000047,20241231,90210000000.0,14520073.0,2308000000.0,1277965.0,604000000.0,12204998.0,107203000.0,4335000000.0,5443000000.0,-1630000.0,1020572.5,9659000000.0,52277000000.0,0.8311600980251587,0.2999388915531042,0.011487602316972104,0.006695488305065957,0.5635158919142769,0.06033699146436094,0.10411844597050328,-1621403.0,7.177152317880795,-0.03296690130349317,1
0000005272-24-000023,20221231,522228000000.0,14520073.0,12180000.0,6000000.0,-5625000000.0,12204998.0,107203000.0,-73000000.0,10276000000.0,-1630000.0,1020572.5,39618000000.0,40970000000.0,0.8311600980251587,0.2999388915531042,-0.12865314767883912,0.0,0.2593770508354788,0.019677229102997157,0.250817671466927,-1621403.0,0.012977777777777777,-0.07727421230569305,1
0000005272-24-000023,20231231,375197000000.0,14520073.0,12180000.0,4000000.0,488005000000.0,12204998.0,107203000.0,6243000000.0,3643000000.0,-1630000.0,1020572.5,7391000000.0,45351000000.0,0.8311600980251587,0.2999388915531042,2.4647568916219833,1.3006633848351665,0.4928967663374374,0.009709565908042974,0.08032898943793963,-1621403.0,0.012792901712072622,0.7709205033469841,2
0000005272-25-000012,20231231,539306000000.0,14520073.0,12180000.0,525000000.0,488005000000.0,12204998.0,107203000.0,4309000000.0,3643000000.0,-1630000.0,1020572.5,27938000000.0,45351000000.0,0.8311600980251587,0.2999388915531042,2.4647568916219833,0.9048758960590092,0.13039587658386428,0.006754977693554308,0.08032898943793963,-1621403.0,0.00882982756324218,0.7660051518656237,2
0000005272-25-000012,20241231,3220000000.0,14520073.0,12180000.0,468000000.0,118772000000.0,12204998.0,107203000.0,3367000000.0,-619000000.0,-1630000.0,1020572.5,27251000000.0,42521000000.0,0.8311600980251587,0.2999388915531042,1.333224515251809,36.885714285714286,-0.022714762760999596,-0.1922360248447205,-0.01455751275840173,-1621403.0,0.028348432290438826,0.8591558712351691,2
0000005513-24-000015,20221231,3129400000.0,14520073.0,12180000.0,1277965.0,176100000.0,12204998.0,107203000.0,1418700000.0,1407200000.0,-1630000.0,94000000.0,11984100000.0,30800000.0,0.8311600980251587,0.2999388915531042,1.9047208947719685,0.056272767942736626,0.11742225114943967,0.4496708634242986,45.688311688311686,1324700000.0,8.056218057921635,-0.38411699461150817,0
